,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Skibbereen,51.55,-9.2667,44.6,93,75,17.27,IE,1611954941
1,Koumac,-20.5667,164.2833,79.2,72,1,4.65,NC,1611954941
2,Birjand,32.8663,59.2211,48.2,12,0,11.5,IR,1611954941
3,São João da Barra,-21.6403,-41.0511,82.4,65,0,20.71,BR,1611954942
4,Yar-Sale,66.8333,70.8333,-41.37,80,16,4.56,RU,1611954942
5,Puerto Ayora,-0.7393,-90.3518,84.2,70,40,14.97,EC,1611954659
6,Pangody,65.85,74.4859,-42.66,80,27,5.93,RU,1611954942
7,Cayenne,4.9333,-52.3333,78.8,100,75,2.3,GF,1611954942
8,Qaanaaq,77.484,-69.3632,-14.84,60,0,4.59,GL,1611954942
9,Tuktoyaktuk,69.4541,-133.0374,-34.6,67,20,2.3,CA,1611954942
10,Wanaraja,-7.1749,107.9808,67.57,89,100,2.86,ID,1611954943
11,Kloulklubed,7.0419,134.2556,78.8,100,75,6.91,PW,1611954651
12,Tiksi,71.6872,128.8694,-32.19,84,100,4.27,RU,1611954943
13,Upernavik,72.7868,-56.1549,-7.31,82,86,11.95,GL,1611954655
14,George Town,5.4112,100.3354,77.0,78,20,3.44,MY,1611954677
15,Bredasdorp,-34.5322,20.0403,68.14,74,90,3.94,ZA,1611954683
16,Nome,64.5011,-165.4064,-0.4,65,1,3.44,US,1611954943
17,Cornélio Procópio,-23.1811,-50.6467,78.8,78,40,8.05,BR,1611954904
18,Ushuaia,-54.8,-68.3,42.8,70,75,11.5,AR,1611954943
19,Kostino,58.9097,53.2691,24.96,97,100,9.42,RU,1611954943
20,Khatanga,71.9667,102.5,-44.73,73,0,2.06,RU,1611954943
21,Mehamn,71.0357,27.8492,21.2,73,0,3.44,NO,1611954944
22,Casa Nova,-9.4167,-41.1333,91.4,33,20,6.91,BR,1611954944
23,Jamestown,42.097,-79.2353,21.0,73,90,13.8,US,1611954649
24,Balabac,7.9868,117.0645,80.13,80,59,20.13,PH,1611954944
25,Longyearbyen,78.2186,15.6401,-2.2,55,20,23.02,SJ,1611954944
26,Itarema,-2.9248,-39.9167,81.27,75,100,13.87,BR,1611954944
27,Hobart,-42.8794,147.3294,64.0,88,20,6.91,AU,1611954944
28,Pecos,31.4229,-103.4932,64.4,29,1,3.44,US,1611954944
29,San Bartolomé de Tirajana,27.9248,-15.5733,69.01,72,0,4.61,ES,1611954945
30,Russell,32.3502,-85.1999,59.0,23,1,1.86,US,1611954945
31,Saint-Philippe,-21.3585,55.7679,78.8,65,0,5.75,RE,1611954945
32,Nizhniy Kuranakh,58.8353,125.4869,-35.32,80,100,1.07,RU,1611954945
33,Kedrovyy,56.1667,91.8167,10.4,92,75,4.47,RU,1611954945
34,Ponta do Sol,32.6667,-17.1,57.99,75,68,1.99,PT,1611954666
35,Port Blair,11.6667,92.75,78.87,81,84,7.81,IN,1611954923
36,Ribeira Grande,38.5167,-28.7,60.8,77,20,10.36,PT,1611954945
